diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
organization edmoid error,wo,organization_edmoid,1,4812,https://edmo.seadatanet.org/report/4812,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/water_observatory.csv,EMOBONList,False
missing value,wm,sea_subsurf_salinity,131,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,132,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,133,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,134,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,135,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,136,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,137,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,138,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,139,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,140,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,141,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,142,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,143,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,144,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,145,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,146,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,147,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,148,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,149,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity,150,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_salinity_method,131,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,132,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,133,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,134,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,135,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,136,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,137,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,138,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,139,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,140,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,141,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,142,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,143,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,144,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,145,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,146,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,147,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,148,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,149,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_salinity_method,150,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp,131,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,132,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,133,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,134,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,135,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,136,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,137,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,138,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,139,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,140,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,141,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,142,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,143,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,144,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,145,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,146,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,147,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,148,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,149,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp,150,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,False
missing value,wm,sea_subsurf_temp_method,131,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,132,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,133,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,134,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,135,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,136,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,137,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,138,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,139,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,140,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,141,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,142,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,143,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,144,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,145,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,146,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,147,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,148,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,149,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
missing value,wm,sea_subsurf_temp_method,150,,,,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,False
