Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
missing value,water,measured,sea_subsurf_salinity,111,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,112,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,113,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,114,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,115,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,116,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,117,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity,118,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_salinity_method,111,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,112,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,113,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,114,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,115,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,116,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,117,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_salinity_method,118,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp,111,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,112,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,113,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,114,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,115,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,116,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,117,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp,118,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDFloat,mandatory
missing value,water,measured,sea_subsurf_temp_method,111,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,112,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,113,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,114,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,115,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,116,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,117,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,sea_subsurf_temp_method,118,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,111,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,112,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,113,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,114,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,115,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,116,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,117,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
missing value,water,measured,source_mat_id,118,<empty>,\,/github/workspace/logsheets/filtered/water_measured.csv,XSDString,mandatory
